title,language,content,narrative,subnarrative
EN_UA_012611.txt,en,russia want un probe nord stream gas pipeline explosion     moscow russia ask un security council investigation nord stream gas pipeline explosion september year blame russian parliament committee international relation introduce motion expect approval state duma later week proposal accord report tass proposal baltic sea pipeline blast    act international terrorism      monstrous sabotage seek united nation hold accountable order explosion carry criminal act threaten security eurasia    proposal state reference report american investigative journalist seymour hersh lawmaker blame president joe biden administration    illegal order bear responsibility multi billion dollar damage infrastructure russia germany france netherlands don miss plant explosive nord stream gas pipeline    biden supervision claim seymour hersh describe pipeline sabotage inflict long term damage security economy environment entire region hersh report allege nord stream gas pipeline damage joint operation norway read russian foreign ministry ask answer    blow    nord stream action require    thorough international investigation punishment responsible compensation damage cause    proposal seymour hersh report week hersh word report claim    secret highly dangerous operation    carry diver baltop series military exercise baltic sea carry    nato country accord diver train navy diving salvage centre florida plant explosive nord stream pipeline june detonate month sonar buoy broadcast signal trigger bomb read plot nord stream sabotage thicken west tussle russia ukraine war new twist claim nord stream attack carry response russian president vladimir putin invasion ukraine explosion nord stream      pipeline report    september attack ostensibly continue puzzle investigator read late news trend news cricket news bollywood news india news entertainment news follow facebook twitter instagram,URW: Blaming the war on others rather than the invader,URW: Blaming the war on others rather than the invader: The West are the aggressors
EN_UA_104569.txt,en,eu kowtow germany interest     eu kowtow germany interest brussels find way thousand euro european taxpayer pocket evident member state control eu bubble session european parliament step close european green deal joachim brudzinski mep poland law justice pis party follow week ep debate energy performance eu building uwierzy    koalicjagrudnia zap acisz    pic.twitter.com/rvzykjktu    prawo sprawiedliwo    @pisorgpl march    view late directive result thousand euro siphon brussels pocket polish european citizen directive include ban gas boiler    example particular kind ecological madness idiocy example brussels mad ambition    pis politician directive stipulate new building zero emission believe ideological madness exemplify fact war ukraine gas    clean energy source    power europe large economy brudzinski point clear control brussels interest prevail eu action long germany nord stream russia gas fine nord stream stop suddenly german realise gas fossil energy away gas switch heat pump pump manufacture new factory mushroom german polish border     germany fact polish mep point    tzw dyrektywa budynkowa ramach zielonego    adu drena    kieszeni polskich obywateli setki otych    oni osowali za     pic.twitter.com/bltwyrdj    prawo sprawiedliwo    @pisorgpl march    help leave wing politician poland european parliament liberal majority vote favour proposal live family house today pay thousand euro pocket implement policy result economy grow sideline vice president law justice party explain european funding provide implement directive tag,Other,Other
EN_UA_022319.txt,en,shapps uk face    pre war world    risk cut defence spend     defence secretary grant shapps britain    pre war world    afford reduce spend military major speech lancaster house london mr shapps    peace dividend    follow end cold war early mr shapps    era peace dividend year    time look multiple theatre include russia china iran north korea ask look today conflict world likely number grow reduce suspect know answer likely grow    add mr shapps announce british service personnel nato large military exercise cold war follow announcement week    billion support package ukraine weekend raf carry air strike u.s force iran houthi rebel yemen target merchant shipping campaign israel british government set goal increase defence spending percent gdp mr shapps argue rise    percent speech monday audience include brass british military push argument increase defence spend mr shapps    critical decision set aspiration reach percent gdp defence stabilise grow economy ll continue strive reach soon possible time ally democratic nation world thing ensure defence spending grow    add tank literally europe ukrainian lawn defence secretary    age idealism replace period hard head realism today adversary busy rebuild barrier old enemy reanimate new foe shape battle line redrawn tank literally europe ukrainian lawn foundation world order shake core    add mr shapps refuse rule action houthis follow weekend attack strike houthis    single action    add    monitor carefully respond later prime minister rishi sunak    hesitate    protect british shipping red sea mr sunak tell sky news    ve houthis iranian master sense proxy tehran freedom navigation year situation try harass close eye action consider    add    aware doesn stop course decision need,Other,Other
EN_UA_002668.txt,en,putin abandon siege kyiv try blitz city submission lose thousand troop     putin abandon siege kyiv try blitz city submission lose thousand troop mad vlad putin abandon plan capture kyiv countless russian soldier kill spook believe spy death toll assault ukraine capital evil kremlin tyrant stomach western official ill judge ground assault city prepare kyiv determine commit defender fairly costly business think come point russia count cost casualty putin force get bogge outskirt kyiv suffer ambush heroic ukrainian russian troop kill bloody fighting far putin battleplan continue fall apart read ukraine spy fear craze despot resort brutal firepower blow entire city smithereen western official big concern create grozny chechan city pummel s. soldiers fed putin lie welcome liberator struggle occupy city resistance official plan walk decapitate local leadership receive adulation welcome population    read russia ukraine live blog late update add russia likely resort brutalise population destroy city save face failure completely capture single ukrainian humiliating putin lose general achieve strategic breakthrough point legendary paratrooper pick plucky ukrainian tara kuzio associate research fellow henry jackson society dozen russian paratrooper kill doom bid hostomel airport dramatic footage russian tank blow bit pay story story sun news desk email exclusive@the-sun.co.uk     whatsapp     pay video click upload click sun newspaper deliver free week,URW: Speculating war outcomes;URW: Speculating war outcomes;URW: Amplifying war-related fears,URW: Speculating war outcomes: Russian army is collapsing;URW: Speculating war outcomes: Other;URW: Amplifying war-related fears: Other
EN_UA_021377.txt,en,   nigerians receive russia govt scholarship study programme     recommend article minister education prof tahir mamman pre departure brief bilateral education agreement scholar russia abuja tuesday batch student way airport departure second batch depart november    november    respectively represent director university education ministry rakiya ilyasu mamman advise scholar opportunity uncontrolle freedom thing disgrace explain country invest lot require return investment return country note thousand secure opportunity grant parent teacher happy succor selection broad plan ensure brilliant nigerian especially afford study programme readily available nigeria support necessary knowledge skill competence useful nigeria development agenda happy inform spite global economic meltdown number development partner increase offer scholarship nigeria prepare travel ensure uphold eschew good value focus study good ambassador country    minister charge scholar strive abide law host country remember brother keeper new environment importantly need presence know nigerian embassy moscow necessary base experience ukraine parent spend lot resource note expert return dear country end study assist nigeria place contribute quota development new knowledge skill    add speak director federal scholarship board asta ndajiwo journey begin november    application thousand nigerian later translate nomination candidate ndajiwo commend federal government effort especially payment scholar allowance september december advise scholar away extracurricular activity life recall incident previous scholar lose life swim pool regret loose nigerians scholar russia past swim process drown don want loose advise stay away water swim want brother keeper work hard face study good ambassador country,Other,Other
EN_UA_026142.txt,en,oppose imperialist war sep iysse public meeting sri lanka     socialist equality party sep international youth student social equality iysse sri lanka hold online meeting entitle    oppose imperialist war    thursday pm announce recent international day rally david north chairman international editorial board world socialist web site warn    world war distant possibility open stage war underway israel genocide gaza palestinians attack iran rapidly emerge world war involve nuclear armed power imperialism ally engage war russia ukraine advanced preparation catastrophic conflict china imperialist leader medium pundit casually refer nuclear war acceptable strategic option despite grave threat pose existence humanity biden administration nato power repeatedly cross    red line    ukraine previously accept necessary prevent nuclear war consider imperialist leader biden sunak macron scholz criminally insane drag planet nuclear conflagration policy simply product derange individual profound crisis world capitalism rational progressive solution global war domination way war accompany savage repression opposition terrible continued persecution julian assange expose crime imperialism graphically demonstrate comrade bogdan syrotiuk young guard bolshevik leninist detain fascistic zelensky government ukraine early month false accusation russian agent bogdan courageously oppose war ukraine comrade russia denounce ukrainian russian regime fight unity ukrainian russian working class imperialist country brutal police crackdown place protester oppose gaza genocide thousand arrest include student ongoing anti war protest university city significant incapable halt bloodbath seven month zionist regime imperialist backer ignore protest million world turn police repression social force capable halt drive world war international working class come struggle sri lanka world opposition austerity program rule class government engage support prepare war worker force bear burden struggle war require build unify anti war movement work class base socialist program expose futility protest politic apologist imperialism appeal capitalist government bankrupt independent mobilisation worker basis need fight free assange syrotiuk burn need new revolutionary leadership work class base socialist internationalism abolish source militarism austerity authoritarianism sort social misery capitalist system invite participate important meeting register online zoom meeting link https://usweb.zoom.us/meeting/register/upyrfuggrzovhdwshkw_cmgxqh_dhgwi,"URW: Amplifying war-related fears;URW: Amplifying war-related fears;URW: Blaming the war on others rather than the invader;URW: Discrediting the West, Diplomacy","URW: Amplifying war-related fears: By continuing the war we risk WWIII;URW: Amplifying war-related fears: There is a real possibility that nuclear weapons will be employed;URW: Blaming the war on others rather than the invader: The West are the aggressors;URW: Discrediting the West, Diplomacy: Other"
EN_UA_027816.txt,en,russia ban    eu medium outlet include politico spiegel afp     response eu recent decision ban russian medium outlet ria novosti news agency izvestia rossiyskaya gazeta newspaper russian authority block    eu publication include politico spiegel afp number moscow promise review measure eu lift ban russian foreign ministry ban broadcasting    european medium outlet response similar measure european union early russian medium recent affect particular politico agence france presse afp der spiegel germany yle finland el país spain euobserver lrt lithuania estonian version delfi website medium moscow measure come response eu broadcast ban ria novosti rossiyskaya gazeta izvestia voice europe war propaganda    brussels find russian government control medium outlet use promote support russia military operation ukraine destabilise neighbouring country    eu note measure prevent medium employee carry activity eu exception broadcast eu russian medium ban come force european union june restriction russian medium lift russian reconsider decision relation mention medium operator    russian foreign ministry statement maria zakharova official representative department june    moscow develop responsive measure realize useless hope brussels commitment international legal obligation begin hostility ukraine eu ban broadcasting number russian medium include ntv ntv mir rossiya ren tv channel rt sputnik certain eu country example latvia ban broadcasting    russian tv channel youtube channel russian medium outlet block pravda.ru youtube channel block subscribe pravda.ru telegram channel facebook rss fighting direction kursk region continue accord russian ukrainian armed force redeploy attack new area,Other,Other
EN_UA_016012.txt,en,zinchenko recall heartbreaking moment wife sob russia invade ukraine arsenal star join fight     arsenal star oleksandr zinchenko recall harrowing moment russia begin invasion home country ukraine gunner speak passionately past war toll nation russian president vladimir putin send troop ukraine february nearly    month begin conflict zinchenko speak memory start speak pier morgan uncensore wife suddenly wake    start    start    cry know like flood tear start wrong picture invasion read arsenal discuss family friend ukraine add worried tell mentality people want leave want leave country homeland sure football career live ukraine sure million percent week ago soon pass border homeland place arsenal man zinchenko state fight country line like fellow sport star wladimir klitschko oleksandr usyk vasyl lomachenko read football time course fight time think helpful moment know happen maybe speech speak know people kill invasion hide,Other,Other
EN_UA_024628.txt,en,washington let ukraine fail defence chief vow     ramstein air base defense secretary lloyd austin promise tuesday united states let ukraine fail fight russia aid remain stall congress kyiv force face shortage munition republican lead house representative block billion assistance ukraine united states warn recent million package week    united states let ukraine fail austin opening meeting germany ukraine international supporter seek secure assistance kyiv remain determined provide ukraine resource need resist kremlin aggression    washington announce million assistance ukraine week austin possible save recent purchase able support need package identify unanticipated contract save austin ukrainian president volodymyr zelensky statement day    critically important congress soon complete necessary procedure final decision    aid kyiv military officer general charle    cq    brown tell journalist en route ukraine meeting kyiv troop    pay attention supply rate execute      incremental kind forth ukraine russia    incremental gain brown note    russians gain territory pretty big cost number casualty like personnel number piece equipment austin remark tuesday    russia pay staggering cost president vladimir putin imperial dream    billion equip deploy maintain sustain imperial aggression ukraine russian troop kill wind    russia launch invasion ukraine austin add ukraine    sink destroy damage    medium large russian navy vessel sink embarrassment moscow russian state medium confirm tuesday country replace head navy austin official spearhead push international support ukraine quickly forge coalition kyiv russia invade coordinate aid dozen country speak ramstein base german defence minister boris pistorius berlin offer half million euro worth military aid ukraine    include round ammunition stock armed force    tell journalist germany ukraine second big donor military support washington commit billion dollar aid kyiv february,URW: Overpraising the West;URW: Overpraising the West,URW: Overpraising the West: The West belongs in the right side of history;URW: Overpraising the West: The West has the strongest international support
EN_UA_019640.txt,en,north korea kim jong un putin xi meet beijing october kremlin     russian president vladimir putin meet china xi jinping talk beijing october kremlin tuesday putin know trip abroad arrest warrant issue deportation child ukraine nikolai patrushev close putin ally secretary russia security council russia china deepen cooperation face west attempt contain quote interfax news agency talk beijing    thorough meeting moscow china diplomat wang yi putin attend belt road forum invitation xi high profile visit moscow march day visit international criminal court icc issue warrant putin arrest suspicion illegally deport child ukraine moscow deny allegation kremlin warrant evidence west hostility russia open criminal case icc prosecutor judge issue warrant russia scale invasion ukraine early year trigger deadly european conflict world war big confrontation moscow west    cuban missile crisis putin pivot china xi stand chinese russian trade soar invasion russia sell asian power include china great volume oil long sell west sanction putin visit beijing february day invasion xi announce    limit    partnership moscow mean military alliance united states china grave long term    strategic competitor    russia    acute threat china refrain condemn russia operation ukraine invasion line kremlin cast war    special military operation early year cia director william burns russia dependent china risk    economic colony    time,URW: Praise of Russia;URW: Russia is the Victim,URW: Praise of Russia: Russia has international support from a number of countries and people;URW: Russia is the Victim: The West is russophobic
