title,language,content,narrative,subnarrative
EN_UA_012611.txt,en,russia want un probe nord stream gas pipeline explosion    moscow russia ask un security council investigation nord stream gas pipeline explosion september year blame russian parliament committee international relation introduce motion expect approval state duma later week proposal accord report tass proposal call baltic sea pipeline blast act international terrorism monstrous sabotage seek united nations hold accountable give order explosion carry criminal act threaten security eurasia proposal state give reference report american investigative journalist seymour hersh lawmaker blame president joe biden administration say give illegal order bear responsibility multi billion dollar damage infrastructure russia germany france netherlands don miss plant explosive nord stream gas pipeline biden supervision claim seymour hersh describe pipeline sabotage inflict long term damage security economy environment entire region hersh report allege nord stream gas pipeline damage joint operation norway read russian foreign ministry ask answer blow nord stream action require thorough international investigation punishment responsible compensation damage cause proposal say seymour hersh report week hersh word report claim secret highly dangerous operation carry diver baltop series military exercise baltic sea carry nato country accord diver train navy diving salvage centre florida plant explosive nord stream pipeline june detonate month sonar buoy broadcast signal trigger bomb read plot nord stream sabotage thicken west tussle russia ukraine war get new twist claim nord stream attack carry response russian president vladimir putin invasion ukraine explosion nord stream pipeline report september attack ostensibly continue puzzle investigator read late news trend news cricket news bollywood news india news entertainment news follow facebook twitter instagram,URW: Blaming the war on others rather than the invader,URW: Blaming the war on others rather than the invader: The West are the aggressors
EN_CC_300028.txt,en,lawsuit file bid halt alaska oil drilling project    lawsuit file bid halt alaska oil drilling project washington afp    environmental group file lawsuit tuesday seek halt controversial oil drilling project alaska approve biden administration interior department give green light monday energy giant conocophillip drill oil site federally own national petroleum reserve alaska pristine western arctic environmental group urge president joe biden vow white house race approve new oil gas lease public land reject call willow project group file suit district court accuse interior department agency violate national environmental policy act endangered species act law authorize project conocophillip massive oil gas project present real threat wildlife ecosystem community arctic alaska say mike scott sierra club complainant suit allow break ground willow project disaster climate effect feel decade scott say statement react biden administration approval project monday alaska senator dan sullivan say legal effort stop project expect prepared defend decision likely frivolous legal challenge low ngo consistently try kill willow project sullivan say alaska lawmaker lobby strongly approval drilling plan defend source thousand job contributor energy independence production barrel oil day peak million barrel year willow project add million metric ton carbon emission atmosphere year accord interior department calculation equivalent annual emission coal fire power plant biden pledge cut greenhouse gas emission half compare goal achieve net zero emission economy later,CC: Criticism of institutions and authorities,CC: Criticism of institutions and authorities: Criticism of international entities
EN_CC_200134.txt,en,greece muslim migrant charge arson deadly wildfire erupt    leftist elite insist wildfire result climate change use push agenda cripple western economy impoverish people europe north america simultaneously maintain europe need muslim migrant neatly work migrant come start fire left use fire advance agenda call migrant fire greece pakistani syrian migrant charge attempt arson evros greek city time august businessman albanian origin alexandroupoli give version incident immigrant identify national pakistan syria keep illegally trailer place meter business improvise incendiary structure find area previous day suburb settlement alexandroupolis evacuate university general hospital naturally resident lose sleep alert fire find night specific point alexandroupoli s. chile supermarket chain spot group people object try set fire hold balloon smell gasoline bring knife didn care immigrant come albania syria greece australia fascist racist sure fellow citizen alexandroupoli business year know conclude illegal immigrant illegally keep trailer citizen alexandroupolis accuse attempt arson comment snow white say think fire light mohamedan gee whizz wow dennis bray say ve say burn host country weaken ready big push takeover infidel say wasn greece overrun othman great heritage site destroy stupid allow muslim land ashore start w/ kid body wash greek shore decade ago greekempress say true infidel think greek remember history aggression turk cyprus greek airspace water remind nick say refute muslim apologist shahid bolsen youtube channel middle nation sound smart know liar call recent law france misogyny jinx cat say professor call antiphrasis yogi say climate change bhahaha hot boiling traitor unbelievable un criminal organization big time keith say don care arsonist black white brindle christian mudslime publicly burn stake set fire vividly recall destruction australia lot bush fire arson sicken brenrod say arson terror weapon israel success cause globally maui,CC: Hidden plots by secret schemes of powerful groups;CC: Hidden plots by secret schemes of powerful groups,CC: Hidden plots by secret schemes of powerful groups: Blaming global elites;CC: Hidden plots by secret schemes of powerful groups: Climate agenda has hidden motives
EN_UA_104569.txt,en,eu kowtow germany interest    eu kowtow germany interest brussels find way hundred thousand euro european taxpayer pocket evident member state control eu bubble session european parliament step close european green deal joachim brudzinski mep poland law justice pis party say follow week ep debate energy performance eu building uwierzy koalicjagrudnia zap acisz pic.twitter.com/rvzykjktu prawo sprawiedliwo @pisorgpl march view late directive result hundred thousand euro siphon brussels pocket polish european citizen directive include ban gas boiler example particular kind ecological madness idiocy example brussels mad ambition pis politician say directive stipulate new building zero emission believe ideological madness well exemplify fact war ukraine gas call clean energy source power europe large economy brudzinski point clear control brussels interest prevail eu action long germany nord stream russia gas fine nord stream stop suddenly germans realise gas fossil energy say away gas switch heat pump pump manufacture new factory mushroom german polish border    germany fact polish mep point tzw dyrektywa budynkowa ramach zielonego adu drena kieszeni polskich obywateli setki otych oni osowali za    pic.twitter.com/bltwyrdj prawo sprawiedliwo @pisorgpl march help left wing politician poland european parliament liberal majority vote favour proposal live family house today pay ten thousand euro pocket implement policy result economy grow sideline vice president law justice party explain european funding provide implement directive tag,Other,Other
EN_UA_300017.txt,en,mcdonald exit russia sell business country    american fast food giant mcdonald say monday exit russia wake ukraine invasion merican fast food giant mcdonald say monday exit russia wake ukraine invasion end decade run begin hopeful period near end cold war restaurant chain launch moscow january great fanfare year soviet union dissolve characterize withdrawal difficult necessary humanitarian crisis cause war ukraine precipitating unpredictable operating environment lead mcdonald conclude continue ownership business russia long tenable consistent mcdonald value company say statement chain look sell entire portfolio mcdonald restaurant russia local buyer burger giant numerous foreign firm pull country suspend operation follow moscow invasion ukraine late february early monday french automaker renault announce hand russian asset government mark major nationalization onset western sanction moscow military campaign russia president vladimir putin order troop pro western ukraine february trigger unprecedented sanction spark exodus foreign corporation include h&m starbuck ikea,Other,Other
EN_CC_200048.txt,en,new york ag letitia james wage war beef late lawfare climate change crusade    announcement james reveal file lawsuit meat producer jbs usa food company american division jbs food accord jame official jbs mislead public environmental impact company operation jbs say achieve net zero greenhouse gas emission implement plan increase production james view mean jbs increase carbon footprint year family continue face daily impact climate crisis willing spend hard earn money product brand well environment jame comment case company falsely advertise commitment sustainability mislead consumer endanger planet accord james jbs engage greenwashe tactic net zero claim opinion jbs exploit pocketbook everyday americans false promise healthy planet future generation james reassure public office ensure company abuse environment trust hardworke consumer profit relate year letitia james launch state approve terror campaign christians new york human knowledge attack government powerful corporation censorship wipe humanity knowledge base nutrition herb self reliance natural immunity food production preparedness preserve human knowledge ai technology build infrastructure human freedom speak freely censorship new decentralize blockchain power brighteon.io explore free downloadable generative ai tool brighteon.ai support effort build infrastructure human freedom shop healthrangerstore.com feature lab test certify organic non gmo food nutritional solution conveniently time jame lawsuit announcement late advancement lab produce synthetic meat cost percent manufacture call cellular agriculture grow fake meat lab challenge real meat industry james climate crusader try destroy james financial tie synthetic meat industry growth factor add surround liquid medium report scitechdaily bovine muscle cell produce growth factor thank technological development david kaplan professor tufts university center cellular agriculture tucca recombinant genetically engineer protein sell industrial supplier growth factor contribute majority cost production cultivate meat growth factor don long cell culture medium replenish day limit ability provide affordable product consumer take ingredient growth medium lead enormous cost saving word real beef industry attack side mysterious fire lawsuit emerge synthetic beef industry make major stride reduce production cost conspiracy happen matter splendid serendipity billionaire fund lab meat startup ramp production coincide force elimination legal fiat actual beef production minion control da office coast coast independent journalist ben bartee comment write clearly coincidence plan refer power plain nose normie face operative word franken farming ai drone operate farmerless farm synthetic food china model write takeover food evil cite article researcher sandi adam climate change green nonsense like synthetic lab grow meat learn climate.new source article include,CC: Criticism of climate movement;CC: Hidden plots by secret schemes of powerful groups;CC: Criticism of institutions and authorities;CC: Controversy about green technologies,CC: Criticism of climate movement: Ad hominem attacks on key activists;CC: Hidden plots by secret schemes of powerful groups: Other;CC: Criticism of institutions and authorities: Criticism of political organizations and figures;CC: Controversy about green technologies: Other
EN_UA_300117.txt,en,report russia ramp use chem weapon ukraine    u.s ukrainian official medic soldier international researcher claim russia increase use toxic gas battlefield increase escalate offensive design seize ukraine territory roughly occupy month ukrainian soldier encamp line dugout siege russian drone drop grenade wall street journal report thursday explosion bomb land strong smell chlorine fill air soldier feel skin sting eye water lung fill smoke provoke hard cough place rag soak water face heavy gas fill air oleksiy bozhko volunteer medic team examine man near eastern city avdiivka identify gas chloropicrin ban chemical irritant base man symptom description smell journal report weapon cripple kill indiscriminate bozhko say u.s announce sanction early month russian company government body involve creation supply chemical weapon line ukraine single chloropicrin chemical agent pesticide weaponize world war ban use battle chemical weapon convention russia signatory u.s sanction announcement journal report dmitry peskov spokesman russian president vladimir putin call accusation troop toxic gas baseless say russia remain committed obligation international law area kremlin russian defense ministry immediately respond request journal comment dan kaszeta expert chemical weapon associate fellow royal united services institute london base think tank tell journal chloropicrin toxic human animal act irritant depend level exposure gas burn skin irritate tear duct difficult breathe let defend incoming attack kaszeta tell journal chemical surpass modern agent riot police tear gas know cn cs ban chemical weapon convention capt dmytro serhiyenko assistant commander analytical center ukrainian army support force analyze chemical weapon use line tell journal agent russia battlefield team log use cn cs area track find grenade contain chloropicrin abandon russian position ukrainians track use chemical weapon february journal report number confirm incident steadily increase support force confirm attack begin track datum include april increase confirm incident march number incomplete possible location gas collect sample interview soldier intensity fighting,Other,Other
EN_UA_300051.txt,en,treason trial l.a woman hold russia donate ukraine charity open    treason trial open l.a woman hold russia donate ukraine charity moscow    trial russian american dual citizen russia accuse treason open thursday tension rise washington moscow include arrest american journalist trial hold close door yekaterinburg court week begin hear case evan gershkovich wall street journal reporter arrest march charge espionage defendant identify russian authority los angeles resident ksenia karelina u.s medium report frequently use surname khavana ex husband russian american woman los angeles hold russia treason charge apparently donation charity ukraine karelina bear yekaterinburg arrest february visit family russia main domestic security agency federal security service charge karelina raise money ukrainian organization provide weapon ammunition supply ukrainian military boyfriend say single donation ukrainian organization accord medium report karelina face sentence year prison convict russian criminal case court end conviction trial adjourn afternoon session set aug russian news agency say gershkovich high profile american bar russia accuse gather secret information tank factory nizhny tagil mile north yekaterinburg employer deny allegation u.s state department declare wrongfully detain ksenia karelina u.s.-russia dual citizen detain russia apparent donation ukrainian aid group appear video court thursday judge deny appeal gershkovich trial close begin wednesday journalist u.s.-funded radio liberty radio free europe u.s russian dual citizenship hold october charge gather military information fail register foreign agent send troop ukraine february russia sharply crack dissent pass law criminalize criticism operation ukraine remark consider discredit russian military concern rise russia target u.s national arrest,Other,Other
EN_UA_022319.txt,en,shapps say uk face pre war world risk cut defence spending    defence secretary grant shapps say britain pre war world afford reduce spending military major speech lancaster house london mr shapps say peace dividend follow end cold war early mr shapps say era peace dividend year time look multiple theatre include russia china iran north korea ask look today conflict world likely number grow reduce suspect know answer likely grow add mr shapps announce british service personnel nato large military exercise cold war follow announcement week billion support package ukraine weekend raf carry air strike u.s force iran back houthi rebel yemen target merchant shipping campaign israel british government set goal increase defence spending percent gdp mr shapps argue rise percent speech monday audience include brass british military see push argument increase defence spending mr shapps say critical decision set aspiration reach percent gdp defence stabilise grow economy ll continue strive reach soon possible time allied democratic nation world thing ensure defence spending grow add tank literally europe ukrainian lawn defence secretary say age idealism replace period hard head realism today adversary busy rebuild barrier old enemy reanimate new foe take shape battle line redrawn tank literally europe ukrainian lawn foundation world order shake core add mr shapps refuse rule action houthis follow weekend attack say strike houthis single action add monitor carefully respond later prime minister rishi sunak say hesitate protect british shipping red sea mr sunak tell sky news ve say houthis iranian master sense proxy tehran freedom navigation give year situation try harass close eye action consider say add aware doesn stop course decision need take,Other,Other
EN_UA_002668.txt,en,putin abandon siege kyiv try blitz city submission lose thousand troop    putin abandon siege kyiv try blitz city submission lose thousand troop mad vlad putin abandon plan capture kyiv countless russian soldier kill spook believe spy death toll assault ukraine capital evil kremlin tyrant stomach western official say ill judge ground assault city prepared kyiv determined committed defender fairly costly business think come point russia count cost casualty say putin force getting bogge outskirt kyiv suffer ambush heroic ukrainian russian troop kill bloody fighting far putin battleplan continue fall apart read ukraine spy fear craze despot resort brutal firepower blow entire city smithereen western official say big concern create grozny chechan city pummel s. soldiers fed putin lie welcome liberator struggle occupy city resistance official say plan walk decapitate local leadership receive adulation welcoming population read russia ukraine live blog late update add russia likely resort brutalise population destroy city save face failure completely capture single ukrainian humiliating putin lose general achieve strategic breakthrough point legendary paratrooper pick plucky ukrainian taras kuzio associate research fellow henry jackson society say dozen russian paratrooper kill doom bid hostomel airport dramatic footage show russian tank blow bit pay story story sun news desk email exclusive@the-sun.co.uk    whatsapp    pay video click upload click sun newspaper deliver free week,URW: Speculating war outcomes;URW: Speculating war outcomes;URW: Amplifying war-related fears,URW: Speculating war outcomes: Russian army is collapsing;URW: Speculating war outcomes: Other;URW: Amplifying war-related fears: Other
